,SYNOPCode,y_pred_FSO_2,y_pred_RFL_2,FSO_pred_1,RFL_pred_1,y_FSO_test,y_RFL_test
68601,6,13.94430113528261,22.064467234953128,14.150693136318841,22.08263420454544,13.07783547,22.04741065
68115,0,4.7504438161666664,12.036986460553125,4.572157522161209,12.015207900727273,4.450608766,12.12505289
28357,0,2.9692408568985504,11.0868493769619,2.9959048302977522,11.184096419136369,2.890492625,10.97999614
17893,0,6.364846376019321,6.942090652696786,6.829858159701192,6.881156362272729,5.953451233,6.966838081
60284,5,10.213861769884053,13.158906974546872,10.52285010695352,12.882340868000002,9.631532687,12.73131207
76082,6,5.959049461057966,14.046868479234373,5.826952461495962,14.175504395636366,4.796299843,13.54218861
61000,0,9.565983717652172,11.18153457079895,9.693444793094775,11.149594276272724,9.097751254,11.39652006
44279,6,2.5748153876086954,12.641100484585122,2.6117276129814697,12.778359900272722,2.502661674,12.33723568
20569,0,10.253148676,4.917887830456146,10.764449851360663,4.477241102109087,11.01189948,4.357187026
14575,0,6.164055238025562,7.380880759365519,6.125962104768668,7.167557480354549,5.883871446,7.572542509
45662,0,3.787884324992749,11.785647944537503,3.721690302627225,11.638294336818175,3.809900443,12.04072273
71162,5,7.855462276913043,12.593269765944793,7.631843541350372,12.477377038727269,6.098216421,12.29303353
17987,5,9.988264362405797,8.469945133167187,10.083395472476916,8.359310094236363,8.844307129,7.8329738
43340,0,2.774531112956522,11.913853086373958,2.853440149907246,12.00388761499318,2.696456631,11.97731455
86703,0,8.103081839927539,10.833955988849114,8.521466956218887,10.806086596636368,7.596187777,10.60824544
236,0,8.714958027869567,6.429874413430667,8.633782473100311,6.003283377990906,8.051075413,7.552181654
44419,5,2.4230506202898585,11.959245011809818,2.464324862130775,11.918299932832534,2.439908174,11.77535707
77375,6,10.136873940543477,12.963452027667259,10.202938974605688,12.916469306636364,9.543234765,13.40358449
25285,6,1.99624696747826,11.050268537510856,2.11049478803028,11.28445569518182,2.215500886,10.90372691
83398,0,6.671944948152174,11.977386906109677,6.890427066969218,11.976599895454548,7.377459083,11.94049422
70044,0,5.101360089333336,12.892457309697921,4.820261545601461,12.923090393090916,5.321433979,12.90938819
1513,6,21.75474185608694,25.04459227922917,22.557132004626297,26.78895379863636,24.35887013,32.63366663
64227,0,6.04629346614493,11.987312735324998,6.024179974331162,11.959251170181817,6.398329012,12.12806403
85817,0,14.359720436231886,11.718517075424263,14.718940174795026,11.660400257736356,13.82802455,10.89164153
18391,0,5.732500621265939,7.948862655816383,5.9022559684036535,7.73299018660909,5.399585504,9.110322586
11923,0,10.706646689188409,4.570698298921458,10.6580049622191,4.24661716972727,10.48985527,3.927843131
31142,6,6.344933696978265,13.20741304633393,6.591389189393888,13.093152263272732,6.170767174,13.55528651
23254,0,6.102724167021748,11.328548305008331,6.890338119345801,11.124992771090914,5.042179981,11.51591387
86047,0,14.024145248297105,11.99362464249531,14.457160554604343,11.914868880763631,13.02587758,11.58992038
88177,0,8.137082241202897,10.087137238574789,7.1473491639378866,9.874078874400004,6.902432945,9.641747712
53960,5,7.600463103478269,11.912471972705656,7.745699217489841,11.897756455818179,8.401434569,11.92879174
83229,0,3.8302438653550746,12.014428469011827,4.0933203898129555,12.002991576212118,2.862064237,12.31819001
12807,0,9.008277276905805,3.0828815000186456,8.852812654852569,3.483858245072726,10.18601416,3.015116841
10261,0,6.778833868376809,4.644649924474897,6.718414182599319,4.881451452300003,7.239500201,4.643395063
73453,6,7.988033324478264,14.444234046336462,8.091730119951892,14.461982718090912,8.39454462,14.24432015
52679,0,4.7020978202753625,12.094815232905205,4.638205210127932,11.99455864820454,4.770299692,11.93169528
30554,0,2.1797637812753607,12.452105523341967,2.1620946016610736,12.218166773272728,2.117014363,12.57246535
82928,0,7.774810974797102,11.628382956480207,8.364645086525567,11.776469365363633,7.063013726,11.86670291
27539,0,2.630325392985508,11.69723319326071,2.570483456842544,11.810104382909083,2.33605003,11.10348943
47788,0,3.1930741116014474,12.715486069872387,3.221287511282165,12.206744141299998,3.207774445,12.50174405
35137,5,2.835688793572467,13.362407340977086,2.9399887993775082,13.446031008363638,2.893805921,13.35036761
89803,0,9.455510619115943,11.17865408180476,9.821664956880362,11.117112484636362,9.414044562,10.97374273
54077,7,6.581895825311594,12.14439823957292,6.233620430920398,12.068388938454552,5.598425434,11.57093282
37013,0,2.5957004131811603,13.094436758595085,2.652041338443005,13.149663080909097,2.649062597,13.01055797
22070,0,2.5722739603913034,11.43607847139658,2.929218912547959,11.362709841363637,4.382172815,11.58948798
53826,6,4.341829574630437,13.28711434255124,4.256921876976565,13.120626720909087,4.274500323,13.23823945
90534,0,9.504507042492744,11.508942714142709,9.1970525606235,11.247344522409088,9.802698608,11.30059162
84114,0,4.418304753210144,12.120796403595833,4.326256825495962,12.086134538181822,4.389728723,12.13787717
4213,6,9.377395093007248,5.618342391038212,9.7364684086088,5.575523437036364,8.778379805,5.557621791
42021,6,5.540866568028983,14.869512983090786,5.698766640067699,14.669913747454546,5.560179269,14.65773768
53390,0,4.342907227072465,12.159549731821429,4.736542371150162,12.046621737272723,4.091921824,11.97627237
30546,0,2.159388019992756,12.418605426604763,2.1364686342533714,12.432330810909091,2.143579056,12.57621041
24445,0,3.208808497115943,11.575186748491666,3.1834991107549313,11.53583469318182,3.415974925,11.11404275
89829,0,8.4105124381087,10.908995135160414,8.521298956600923,10.869628573363636,8.297277085,10.91162866
67601,6,11.274968608057971,14.859189282207296,11.35042016834678,14.47352800209092,12.22116414,14.65401544
42417,6,6.398817039413046,14.915796204322476,6.1319701839883445,15.164057872727266,6.061805049,14.95839714
57927,0,10.802365616159422,11.210878641100601,11.178300594544517,11.638473383272729,14.18791832,10.986321
91376,0,8.995992704739134,11.210159148911607,8.802469141063357,11.030463770727273,8.873167748,11.49189136
67491,6,6.329645455734293,12.178108459417263,6.532056881784473,12.244578621545458,9.114826028,12.15343718
79227,6,14.261233899782612,17.791118406272922,14.111345263620372,17.003546517090914,13.98456599,17.44700624
19423,0,6.908522990543483,6.543661054397084,6.824190130883632,6.599852130890913,6.665618954,6.518774423
65716,5,7.894655261862319,11.697006110620835,7.579037227112009,11.799224925272734,7.808794165,11.94766792
26129,0,2.2875678928333323,11.378886986531246,2.3004163671193583,11.353017015272718,2.364690606,10.81724986
89658,0,8.12216285878261,10.383645738015627,8.126064552345397,10.554210708454546,7.60594743,10.60252022
51087,5,4.323392059797105,13.067038014803126,4.377645951088509,12.942555257999993,4.09162533,13.164158
75708,0,12.002883948644936,11.625382397591078,11.371362127885508,11.441877657545456,11.17178407,11.76516254
85585,0,14.895841770942027,12.480747911002087,14.06008276330435,12.45316407297273,15.10650141,12.67972291
61241,0,10.381101724115934,12.544211074274997,10.50971997451227,12.3914082800909,11.06302325,12.8586951
52257,0,2.429519664768117,13.23370265824821,2.559958510579536,13.286054313454544,2.49138028,12.9816356
45038,5,3.2938312055942025,14.108038941177076,3.2752959701520696,13.949631852272748,2.942438823,14.36085974
33261,0,2.7926807646376797,12.581778190430203,2.813400112497101,12.596559292818169,2.785566425,12.75853163
42641,0,3.897942378695651,11.549694661201936,3.8057478499526045,11.441423190727276,3.624719892,11.2175091
66639,6,13.303696966978276,19.4888281001073,13.84472122518633,20.306300116090906,13.83429387,19.18373265
83735,0,3.0814131464927565,11.726030944256248,3.097654005055708,11.764988115909091,2.934511262,11.58447291
83964,0,11.93705956528261,14.204872972010211,12.613060927133246,14.153348803054541,15.91741769,13.77950051
8493,8,10.913587149130434,12.566926242332299,11.25486455564801,12.2888981703091,9.677660987,13.50515493
65884,6,17.772523354855068,19.236683809051037,15.663535369748962,21.32477917718182,14.75987799,20.17607833
81355,6,8.345973984876816,14.299438367042697,7.561845068258362,13.874869079909082,6.721755147,13.08487984
38724,0,3.1819653995434787,11.346610746782739,3.0011034278028244,11.40210704927272,2.688574374,11.6205203
138,0,7.898734259992753,5.75047437835889,7.851835082510039,5.481540820572729,8.100832443,6.522808836
77256,5,10.501442235188405,12.484388115605212,10.62951758655822,12.45257625645454,10.00691471,12.17638883
84692,0,14.808766050869577,12.287740292815098,15.113927745332594,11.553393992545454,14.85128653,13.2730804
66039,0,3.874271624528982,11.898526855276854,3.7877704855148044,11.842281966727276,3.858151315,11.85994633
13929,0,6.412965992956525,9.574931971562668,6.212976056501699,8.845278468409088,6.372656749,9.345889584
43674,0,3.2448004962318833,11.115063724649549,3.0427315130643167,11.347518688795457,3.250687533,11.91530555
79259,6,14.721786814782611,19.2735498392195,14.924122184513315,18.753744237636358,14.70282271,18.13098644
21200,0,7.8341448305144965,7.455947839654058,7.515573641019565,6.968228886436363,8.00009733,6.958101595
68917,0,4.147343542471014,15.031153065588688,3.991352874520703,13.49178895079091,3.506016748,15.07440026
36277,6,5.946368694420295,16.472225141452082,5.926480244987046,16.81805255363636,5.815716435,15.91475313
81838,0,2.4002578628483686,12.124668782934233,2.4617409886840993,12.144525845030309,2.48280153,11.92789782
83060,0,4.317134305565215,12.186755891478573,4.002025149906346,12.195228833818177,4.357677466,11.99072598
68999,6,6.773920202840578,15.943337211342259,6.199594125562525,15.614401240727272,7.808495209,17.42267429
7148,6,8.143742807644923,12.848141497323331,8.12091316581263,12.984103297999996,8.157890379,11.95273901
50598,0,3.3896121168115942,12.9155688100253,3.4055598384950034,12.938549788181819,3.2539927,13.05020503
4626,6,9.607080516630434,8.72524695935645,9.395492168049488,8.049202295999997,9.526425443,8.538072992
35224,0,3.3782352548913055,13.195830421042862,3.0048692300541124,13.087801549727262,3.290448371,13.3851659
48065,6,5.649467196217395,15.741112022730055,5.0360029144242215,15.43482060845454,6.204377608,16.9940617
74008,6,15.138897782137674,22.342580897070825,16.787268017508577,22.54414159545453,14.13467607,19.46478005
27520,0,2.2522418907463777,11.465524469233337,2.4602736808800354,11.52117057663636,2.204993224,11.95386209
22399,0,3.718106339144927,11.445384780601042,3.6386232653653807,11.30189354910606,4.067775919,10.99130516
84915,0,15.836425725869553,11.757445908400095,16.15092664421719,11.464454673090913,16.55181558,11.02930436
53982,0,9.180423257050727,11.611904023060713,9.410462309182915,11.616048780272735,11.03389075,11.33862386
25919,0,2.8078833409927535,11.14106662524375,2.6569672348399593,11.256955239545457,2.507666633,10.94685498
